# TOPAS Version: 3.1.p3
# Parameter File: W-2-6.txt
# Results for scorer D
# Scored in component: Phantom
# X in 200 bins of 0.01 cm
# Y in 200 bins of 0.01 cm
# Z in 1 bin  of 0.001 cm
# DoseToMedium ( Gy ) : Mean   Standard_Deviation   
0, 0, 0, 0, 0
0, 1, 0, 0, 0
0, 2, 0, 9.1960297585166e-12, 2.908037785732239e-08
0, 3, 0, 3.050777838197169e-12, 9.64739934738412e-09
0, 4, 0, 0, 0
0, 5, 0, 6.976128520620465e-11, 1.560641838239455e-07
0, 6, 0, 0, 0
0, 7, 0, 0, 0
0, 8, 0, 0, 0
0, 9, 0, 0, 0
0, 10, 0, 0, 0
0, 11, 0, 0, 0
0, 12, 0, 5.446152037004245e-12, 1.448954937103898e-08
0, 13, 0, 0, 0
0, 14, 0, 0, 0
0, 15, 0, 0, 0
0, 16, 0, 7.141376008084244e-11, 1.7147397925851e-07
0, 17, 0, 0, 0
0, 18, 0, 8.040057954974223e-12, 2.54248762983585e-08
0, 19, 0, 5.52259895292242e-11, 1.395074392993018e-07
0, 20, 0, 0, 0
0, 21, 0, 2.069254394948524e-11, 6.543552044378098e-08
0, 22, 0, 0, 0
0, 23, 0, 5.259638218728102e-11, 1.114451540300957e-07
0, 24, 0, 2.138287858009378e-11, 6.761854862556606e-08
0, 25, 0, 0, 0
0, 26, 0, 0, 0
0, 27, 0, 8.062417176001454e-11, 1.618941271222552e-07
0, 28, 0, 2.394229942617472e-11, 7.17068944827637e-08
0, 29, 0, 1.426954284010303e-11, 3.463171552511425e-08
0, 30, 0, 2.678614340512785e-11, 8.179746548064157e-08
0, 31, 0, 1.379985659829273e-11, 3.240125195158382e-08
0, 32, 0, 0, 0
0, 33, 0, 0, 0
0, 34, 0, 8.425094679854004e-12, 2.664246865129575e-08
0, 35, 0, 0, 0
0, 36, 0, 0, 0
0, 37, 0, 1.080178554787452e-11, 3.41582194351859e-08
0, 38, 0, 2.816845945877392e-11, 5.900014561121783e-08
0, 39, 0, 2.978681574976675e-11, 9.419411029756077e-08
0, 40, 0, 3.023969347273627e-11, 9.562623548414937e-08
0, 41, 0, 4.772907129344319e-11, 1.252748898063946e-07
0, 42, 0, 3.882287629678208e-11, 9.234002884062453e-08
0, 43, 0, 0, 0
0, 44, 0, 2.647680507522858e-11, 8.372694698798946e-08
0, 45, 0, 0, 0
0, 46, 0, 4.476206062692182e-11, 1.011408964599843e-07
0, 47, 0, 0, 0
0, 48, 0, 0, 0
0, 49, 0, 5.906080107133739e-11, 1.363064669054937e-07
0, 50, 0, 0, 0
0, 51, 0, 5.512046008119123e-11, 1.338159511525544e-07
0, 52, 0, 3.652429153613999e-11, 8.56955467267464e-08
0, 53, 0, 8.389832937551054e-11, 1.559697271139704e-07
0, 54, 0, 6.264287452727484e-11, 1.17362706561991e-07
0, 55, 0, 9.299662735411974e-11, 1.906491595489096e-07
0, 56, 0, 5.15165179570038e-11, 1.046843303351611e-07
0, 57, 0, 2.937173516806168e-11, 9.288151200518243e-08
0, 58, 0, 0, 0
0, 59, 0, 3.346114330610703e-11, 8.5948200438158e-08
0, 60, 0, 2.953124836775995e-11, 9.338593759302153e-08
0, 61, 0, 6.062827472103752e-11, 1.643356812611267e-07
0, 62, 0, 9.115890722000229e-11, 1.735556285022417e-07
0, 63, 0, 0, 0
0, 64, 0, 4.254373589416947e-11, 8.678807370187127e-08
0, 65, 0, 8.74579270085656e-11, 1.892353500758485e-07
0, 66, 0, 0, 0
0, 67, 0, 0, 0
0, 68, 0, 6.943028086530523e-11, 1.826632831240371e-07
0, 69, 0, 7.221327099858601e-11, 1.442899930399428e-07
0, 70, 0, 1.023126259311486e-10, 1.874128623577709e-07
0, 71, 0, 5.352181656381984e-11, 1.604262365542771e-07
0, 72, 0, 4.719251593296317e-11, 1.055477955475769e-07
0, 73, 0, 5.171350479083525e-11, 9.295593274818e-08
0, 74, 0, 8.33916399039288e-11, 1.425477822165871e-07
0, 75, 0, 0, 0
0, 76, 0, 6.773564565617584e-11, 1.319722726812229e-07
0, 77, 0, 1.097727760412034e-10, 1.92522293165204e-07
0, 78, 0, 8.60411239357165e-11, 1.574548359985869e-07
0, 79, 0, 1.382539110341293e-10, 1.877504164955853e-07
0, 80, 0, 8.364162991851545e-11, 1.569654421863579e-07
0, 81, 0, 1.013466296631915e-10, 1.928570368387508e-07
0, 82, 0, 7.75966897105304e-11, 1.278678395485133e-07
0, 83, 0, 9.287527259180902e-11, 1.910467041548103e-07
0, 84, 0, 4.773908444145692e-11, 1.251226736195145e-07
0, 85, 0, 8.010642668844823e-11, 1.735415160546398e-07
0, 86, 0, 3.038988736644682e-12, 9.610118963492577e-09
0, 87, 0, 1.051823063157389e-10, 1.803287481279677e-07
0, 88, 0, 1.067599981149679e-10, 1.66367242134383e-07
0, 89, 0, 6.439287839324544e-11, 1.50690059396346e-07
0, 90, 0, 7.907687104814666e-11, 1.66289036597554e-07
0, 91, 0, 6.729569736400064e-11, 1.200100548214471e-07
0, 92, 0, 3.977700099291483e-12, 1.257858274772023e-08
0, 93, 0, 4.203322288727784e-11, 9.96210391865834e-08
0, 94, 0, 1.26736225967601e-10, 2.062425068191794e-07
0, 95, 0, 6.445087528529946e-11, 1.219623253279676e-07
0, 96, 0, 9.628356425786809e-11, 1.621728255556681e-07
0, 97, 0, 1.822959678580254e-10, 2.970964736811351e-07
0, 98, 0, 6.619911950182212e-11, 1.512992406753677e-07
0, 99, 0, 5.681845759019236e-11, 1.274092665366932e-07
