# Mari Carmen
# E (MeV), Z (cm), I (nA), codFiltro, numSpots
3.00, 7.00, 1.000, PP25, 231
# X (cm), Y (cm), Q (pC)
0.80, 0.40, 1.000000
0.80, 0.60, 1.000000
0.80, 0.80, 1.000000
0.80, 1.00, 1.000000
0.80, 1.20, 1.000000
0.80, 1.40, 1.000000
0.80, 1.60, 1.000000
0.80, 1.80, 1.000000
0.80, 2.00, 1.000000
1.00, -2.00, 1.000000
1.00, -1.80, 1.000000
1.00, -1.60, 1.000000
1.00, -1.40, 1.000000
1.00, -1.20, 1.000000
1.00, -1.00, 1.000000
1.00, -0.80, 1.000000
1.00, -0.60, 1.000000
1.00, -0.40, 1.000000
1.00, -0.20, 1.000000
1.00, 0.00, 1.000000
1.00, 0.20, 1.000000
1.00, 0.40, 1.000000
1.00, 0.60, 1.000000
1.00, 0.80, 1.000000
1.00, 1.00, 1.000000
1.00, 1.20, 1.000000
1.00, 1.40, 1.000000
1.00, 1.60, 1.000000
1.00, 1.80, 1.000000
1.00, 2.00, 1.000000
