2.55,1.32E+02
2.56,1.32E+02
2.57,1.32E+02
2.58,1.31E+02
2.59,1.31E+02
2.60,1.31E+02
2.61,1.30E+02
2.62,1.30E+02
2.63,1.29E+02
2.64,1.29E+02
2.65,1.29E+02
2.66,1.28E+02
2.67,1.28E+02
2.68,1.28E+02
2.69,1.27E+02
2.70,1.27E+02
2.71,1.27E+02
2.72,1.26E+02
2.73,1.26E+02
2.74,1.26E+02
2.75,1.25E+02
2.76,1.25E+02
2.77,1.24E+02
2.78,1.24E+02
2.79,1.24E+02
2.80,1.23E+02
2.81,1.23E+02
2.82,1.23E+02
2.83,1.22E+02
2.84,1.22E+02
2.85,1.22E+02
2.86,1.22E+02
2.87,1.21E+02
2.88,1.21E+02
2.89,1.21E+02
2.90,1.20E+02
2.91,1.20E+02
2.92,1.20E+02
2.93,1.19E+02
2.94,1.19E+02
2.95,1.19E+02
2.96,1.18E+02
2.97,1.18E+02
2.98,1.18E+02
2.99,1.18E+02
3.00,1.17E+02
3.01,1.17E+02
3.02,1.17E+02
3.03,1.16E+02
3.04,1.16E+02
3.05,1.16E+02
3.06,1.15E+02
3.07,1.15E+02
3.08,1.15E+02
3.09,1.15E+02
3.10,1.14E+02
3.11,1.14E+02
3.12,1.14E+02
3.13,1.14E+02
3.14,1.13E+02
3.15,1.13E+02
3.16,1.13E+02
3.17,1.12E+02
3.18,1.12E+02
3.19,1.12E+02
3.20,1.12E+02
3.21,1.11E+02
3.22,1.11E+02
3.23,1.11E+02
3.24,1.11E+02
3.25,1.10E+02
3.26,1.10E+02
3.27,1.10E+02
3.28,1.10E+02
3.29,1.09E+02
3.30,1.09E+02
3.31,1.09E+02
3.32,1.09E+02
3.33,1.08E+02
3.34,1.08E+02
3.35,1.08E+02
3.36,1.08E+02
3.37,1.07E+02
3.38,1.07E+02
3.39,1.07E+02
3.40,1.07E+02
3.41,1.06E+02
3.42,1.06E+02
3.43,1.06E+02
3.44,1.06E+02
3.45,1.05E+02
3.46,1.05E+02
3.47,1.05E+02
3.48,1.05E+02
3.49,1.04E+02
3.50,1.04E+02
3.51,1.04E+02
3.52,1.04E+02
3.53,1.04E+02
3.54,1.03E+02
3.55,1.03E+02
3.56,1.03E+02
3.57,1.03E+02
3.58,1.02E+02
3.59,1.02E+02
3.60,1.02E+02
3.61,1.02E+02
3.62,1.02E+02
3.63,1.01E+02
3.64,1.01E+02
3.65,1.01E+02
3.66,1.01E+02
3.67,1.01E+02
3.68,1.00E+02
3.69,1.00E+02
